Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Spent Days,Project Status,Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Schedule Status,Cost Variance ($ M),Financial Status,Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
007-000001017,906,7,Department of Defense,Information Transport System Increment 1,2617,P1017-104,Mountain Home AFB network infrastructure upgrade.,"The Information Transport System (ITS) Increment 1 installs robust Active Duty and Reserve base network backbone infrastructure required to meet increasing demand for high-speed network access that provides the data, video and imagery supporting Air Force operations and provides a standard infrastructure allowing the 24th Air Force Commander to centrally manage and defend the Air Force network.  ITS designs, installs and sustains high-speed network backbones using industry standard design methodologies and installation principles which eliminates design flaws, such as single points of failure, which occur as a result of patch-work network design and implementation.",2011-12-30T00:00:00Z,2013-01-30T00:00:00Z,397,Completed,,,9.104,0,0,Balanced schedule,0,Balanced budget,0,9.104,9.104,2011-10-26T00:00:00Z,8:57:05,P1017-104
007-000001017,906,7,Department of Defense,Information Transport System Increment 1,2618,P1017-105,Randolph AFB network infrastructure upgrade.,"The Information Transport System (ITS) Increment 1 installs robust Active Duty and Reserve base network backbone infrastructure required to meet increasing demand for high-speed network access that provides the data, video and imagery supporting Air Force operations and provides a standard infrastructure allowing the 24th Air Force Commander to centrally manage and defend the Air Force network.  ITS designs, installs and sustains high-speed network backbones using industry standard design methodologies and installation principles which eliminates design flaws, such as single points of failure, which occur as a result of patch-work network design and implementation.",2011-12-30T00:00:00Z,2013-09-30T00:00:00Z,639,Completed,,,6.183,0,0,Balanced schedule,0,Balanced budget,0,6.183,6.183,2011-10-26T00:00:00Z,8:57:05,P1017-105
007-000001017,906,7,Department of Defense,Information Transport System Increment 1,2619,P1017-106,Vance AFB network infrastructure upgrade.,"The Information Transport System (ITS) Increment 1 installs robust Active Duty and Reserve base network backbone infrastructure required to meet increasing demand for high-speed network access that provides the data, video and imagery supporting Air Force operations and provides a standard infrastructure allowing the 24th Air Force Commander to centrally manage and defend the Air Force network.  ITS designs, installs and sustains high-speed network backbones using industry standard design methodologies and installation principles which eliminates design flaws, such as single points of failure, which occur as a result of patch-work network design and implementation.",2011-12-30T00:00:00Z,2013-09-30T00:00:00Z,639,Completed,,,5.126,0,0,Balanced schedule,0,Balanced budget,0,5.126,5.126,2011-10-26T00:00:00Z,8:57:05,P1017-106
007-000001017,906,7,Department of Defense,Information Transport System Increment 1,2620,P1017-107,Columbus AFB network infrastructure upgrade.,"The Information Transport System (ITS) Increment 1 installs robust Active Duty and Reserve base network backbone infrastructure required to meet increasing demand for high-speed network access that provides the data, video and imagery supporting Air Force operations and provides a standard infrastructure allowing the 24th Air Force Commander to centrally manage and defend the Air Force network.  ITS designs, installs and sustains high-speed network backbones using industry standard design methodologies and installation principles which eliminates design flaws, such as single points of failure, which occur as a result of patch-work network design and implementation.",2012-01-31T00:00:00Z,2013-09-30T00:00:00Z,607,Completed,,,5.322,0,0,Balanced schedule,0,Balanced budget,0,5.322,5.322,2011-10-26T00:00:00Z,8:57:05,P1017-107
007-000001017,906,7,Department of Defense,Information Transport System Increment 1,2621,P1017-108,Thule AB network infrastructure upgrade.,"The Information Transport System (ITS) Increment 1 installs robust Active Duty and Reserve base network backbone infrastructure required to meet increasing demand for high-speed network access that provides the data, video and imagery supporting Air Force operations and provides a standard infrastructure allowing the 24th Air Force Commander to centrally manage and defend the Air Force network.  ITS designs, installs and sustains high-speed network backbones using industry standard design methodologies and installation principles which eliminates design flaws, such as single points of failure, which occur as a result of patch-work network design and implementation.",2012-02-28T00:00:00Z,2013-09-30T00:00:00Z,579,Completed,,,2.188,0,0,Balanced schedule,0,Balanced budget,0,2.188,2.188,2011-10-26T00:00:00Z,8:57:05,P1017-108
007-000001078,909,7,Department of Defense,Air Force Intranet Increment ,2625,P1078-101,Base Boundary Security Enhancement (BBSE),"Update each base network security boundary to provide enhanced information assurance against unauthorized network access or attack.  Provide protection against known security vulnerabilities and emerging threats.  Includes Active, Reserve and Air National Guard locations and provides enhanced network security for Geographically Separated Units.  BBSE also optimized the Air Force Network (AFNET) behind the existing network gateways and streamlines network management.",2012-01-31T00:00:00Z,2014-01-31T00:00:00Z,731,Completed,,,27,0,0,Balanced schedule,0,Balanced budget,0,27,27,2011-10-26T00:00:00Z,8:57:08,P1078-101
007-000001078,909,7,Department of Defense,Air Force Intranet Increment ,2626,P1078-103,Maintain existing gateways,"Maintain and sustain the existing network gateways to include all hardware, software and engineering/technical support required to ensure continued network operations and security.",2011-01-10T00:00:00Z,2012-01-10T00:00:00Z,365,Completed,,,33.1,0,0,Balanced schedule,0,Balanced budget,0,33.1,33.1,2011-10-26T00:00:00Z,8:57:08,P1078-103
007-000001104,910,7,Department of Defense,Base Information Infrastructure,2630,P1104-101,Renew all mission essential software licenses and support agreements.,"Base Information Infrastructure (BII) sustains and provides support services to the Air Force Intranet (AFNET), Informations Transport System (ITS) and Voice Switching System (VSS).  This includes hardware and software trouble-shooting and repair, software license agreements and support, and 24/7 engineering and technical assistance for every Air Force base data network, all network defense and network management capabilities and the telephone switch and cable plant at every Air Force base.  BII also replaces base network backbone infrastructure components that are obsolete, beyond end-of-support by the manufacturer or no longer meet mission requirements.  This investment closes gaps identified by the Air Force Requirements board to establish and maintain standard network defense, network management and situational awareness tools.  BII also maintains a standard configuration baseline across the Air Force network enterprise.  BII ensures that required security patches and software updates are loaded when required and obsolete hardware is repaired or replace to ensure mission accomplishment along with the necessary security posture.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,32.3,0,0,Balanced schedule,0,Balanced budget,0,32.3,32.3,2011-10-26T00:00:00Z,9:10:18,P1104-101
007-000001104,910,7,Department of Defense,Base Information Infrastructure,2631,P1104-102,Renew all mission essential hardware support contracts.,"Base Information Infrastructure (BII) sustains and provides support services to the Air Force Intranet (AFNET), Informations Transport System (ITS) and Voice Switching System (VSS).  This includes hardware and software trouble-shooting and repair, software license agreements and support, and 24/7 engineering and technical assistance for every Air Force base data network, all network defense and network management capabilities and the telephone switch and cable plant at every Air Force base.  BII also replaces base network backbone infrastructure components that are obsolete, beyond end-of-support by the manufacturer or no longer meet mission requirements.  This investment closes gaps identified by the Air Force Requirements board to establish and maintain standard network defense, network management and situational awareness tools.  BII also maintains a standard configuration baseline across the Air Force network enterprise.  BII ensures that required security patches and software updates are loaded when required and obsolete hardware is repaired or replace to ensure mission accomplishment along with the necessary security posture.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,53.4,0,0,Balanced schedule,0,Balanced budget,0,53.4,53.4,2011-10-26T00:00:00Z,9:10:18,P1104-102
007-000001104,910,7,Department of Defense,Base Information Infrastructure,2632,P1104-103,"Update or replace obsolete, unsecure network infrastructure components.","Base Information Infrastructure (BII) sustains and provides support services to the Air Force Intranet (AFNET), Informations Transport System (ITS) and Voice Switching System (VSS).  This includes hardware and software trouble-shooting and repair, software license agreements and support, and 24/7 engineering and technical assistance for every Air Force base data network, all network defense and network management capabilities and the telephone switch and cable plant at every Air Force base.  BII also replaces base network backbone infrastructure components that are obsolete, beyond end-of-support by the manufacturer or no longer meet mission requirements.  This investment closes gaps identified by the Air Force Requirements board to establish and maintain standard network defense, network management and situational awareness tools.  BII also maintains a standard configuration baseline across the Air Force network enterprise.  BII ensures that required security patches and software updates are loaded when required and obsolete hardware is repaired or replace to ensure mission accomplishment along with the necessary security posture.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,22,0,0,Balanced schedule,0,Balanced budget,0,16.528,16.528,2011-10-26T00:00:00Z,9:10:18,P1104-103
007-000001152,911,7,Department of Defense,Voice Switching System,2633,P1152-101,Telephony Management System software license support,Purchase software license support for the Air Force enterprise telephone system.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,3.047,0,0,Balanced schedule,0,Balanced budget,0,3.047,3.047,2011-10-26T00:00:00Z,9:10:19,P1152-101
007-000001152,911,7,Department of Defense,Voice Switching System,2634,P1152-102,Voice Protection System (VPS) software license support.,Purchase software licenses and support for all Air Force telephone switches to ensure required security.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,2.302,0,0,Balanced schedule,0,Balanced budget,0,2.302,2.302,2011-10-26T00:00:00Z,9:10:19,P1152-102
007-000001152,911,7,Department of Defense,Voice Switching System,2635,P1152-103,Upgrade Defense Red Switch Network.,"VSS upgrades the Defense Red Switch Network (DRSN) to eliminate obsolete, beyond end-of-life components that provide critical communications between the White House, JCS, and SAF to Combatant Commanders.",2012-09-30T00:00:00Z,2017-04-30T00:00:00Z,1673,Processing,,,21.76,-1157,-224.22,Under schedule,0,Balanced budget,0,8.416,8.416,2011-10-26T00:00:00Z,9:10:19,P1152-103
007-000001179,912,7,Department of Defense,Integrated Strategic Planning and Analysis Network - Increment 2,2636,P1179-101,Increment 2 Spiral 1 Software Development,"ISPAN Increment 2 modernization will provide the following capabilities:1. Campaign/Contingency Planning- Perform mission analysis, effects planning, and basic briefing support for OSD In-Process Reviews.- Integrage conventional target development processes, including support for target coordination boards and Flexible Strike Options (FSO) planning.2. Crisis Action Planning (CAP)- Create user-defined planning templates for specific operations types or to reflect local policies and procedures.- Create the ability for Branch-Sequel planning in use defined parent-child relationships between C/CP and CAP and among multiple CAPs.- Add support for Joint Intelligence Preparation of the Operational Environment (JIPOE).- A modular, automated orders-writing service from templates for Warning Orders (WARNORDs), Planning Orders (PLANORDs), Alert Orders (ALERTORDs), OperationOrders (OPORDs), Fragmentary Orders (FRAGORDs), Execution Orders (EXORDs), and Situation Reports (SITREPs), that can be either standalone documents or linked toapplicable C/CP and CAP workspaces.3. Decision Support (DS)- Integrate conventional strike web services. Expand geospatial, temporal, and relational support for Situation Development and Assessment (SA) by consuming additionalinformation web services, updating data readers, and integrating the visualization capability into the planning environment.- Add web services form other operational planning systems to improve orchestration of integrated COA development.4. Sustainability- Expand the application capacity with better performance by virtualizing the system architecture. Provide survivable and redundant applications at multiple sites with a basicdata backup and node transition plan.- Provide survivable and redundatnt apps at multiple sites with data backup node transition plan.- Update the portal with an improved user interface.5. Training- Expand the capability to support global users with a training workspace, chat, computer-based training, better orgainzied info and search capabilities, plus videos.- Update training for system functionality changes.",2010-11-30T00:00:00Z,2012-01-31T00:00:00Z,427,Completed,2012-01-31T00:00:00Z,2012-01-31T00:00:00Z,9.188,-213,-49.88,Under schedule,0,Balanced budget,0,9.187,9.187,2011-10-26T00:00:00Z,9:10:19,P1179-101
007-000001179,912,7,Department of Defense,Integrated Strategic Planning and Analysis Network - Increment 2,2637,P1179-102,Increment 2 Spiral 2 Software Development,"ISPAN Increment 2 modernization will provide the following capabilities:1. Campaign/Contingency Planning- Perform mission analysis, effects planning, and basic briefing support for OSD In-Process Reviews.- Integrage conventional target development processes, including support for target coordination boards and Flexible Strike Options (FSO) planning.2. Crisis Action Planning (CAP)- Create user-defined planning templates for specific operations types or to reflect local policies and procedures.- Create the ability for Branch-Sequel planning in use defined parent-child relationships between C/CP and CAP and among multiple CAPs.- Add support for Joint Intelligence Preparation of the Operational Environment (JIPOE).- A modular, automated orders-writing service from templates for Warning Orders (WARNORDs), Planning Orders (PLANORDs), Alert Orders (ALERTORDs), OperationOrders (OPORDs), Fragmentary Orders (FRAGORDs), Execution Orders (EXORDs), and Situation Reports (SITREPs), that can be either standalone documents or linked toapplicable C/CP and CAP workspaces.3. Decision Support (DS)- Integrate conventional strike web services. Expand geospatial, temporal, and relational support for Situation Development and Assessment (SA) by consuming additionalinformation web services, updating data readers, and integrating the visualization capability into the planning environment.- Add web services form other operational planning systems to improve orchestration of integrated COA development.4. Sustainability- Expand the application capacity with better performance by virtualizing the system architecture. Provide survivable and redundant applications at multiple sites with a basicdata backup and node transition plan.- Provide survivable and redundatnt apps at multiple sites with data backup node transition plan.- Update the portal with an improved user interface.5. Training- Expand the capability to support global users with a training workspace, chat, computer-based training, better orgainzied info and search capabilities, plus videos.- Update training for system functionality changes.",2011-06-30T00:00:00Z,2012-09-30T00:00:00Z,458,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,8.45,0,0,Balanced schedule,0,Balanced budget,0,8.45,8.45,2011-10-26T00:00:00Z,9:10:19,P1179-102
007-000001179,912,7,Department of Defense,Integrated Strategic Planning and Analysis Network - Increment 2,2639,P1179-104,Increment 2 Hardware and Software to support Alternate Site requirement,"Hardware equipment and COTS software to support the Alternate Site deployment requirement. This includes servers, workstations, and associated software.",2010-01-12T00:00:00Z,2013-08-31T00:00:00Z,1326,Completed,,,6.223,0,0,Balanced schedule,0,Balanced budget,0,4.536,4.536,2011-10-26T00:00:00Z,9:10:20,P1179-104
007-000001179,912,7,Department of Defense,Integrated Strategic Planning and Analysis Network - Increment 2,2640,P1179-105,ISPAN Increment 2 Post IOC Enhancements,"System will be refined as needed to achieve and verify its full capability. This will include closure of any Category 1 deficiency reports, final verification of Sustainment Capability Area KPPs (Return to Service and Operational Availability), fielding an alternate JWICS instance for reliability, and development of a number of attributes that contribute to the major capability areas but are not themselves KPPs.",2012-04-30T00:00:00Z,2013-08-31T00:00:00Z,488,Completed,,,10.369,0,0,Balanced schedule,0,Balanced budget,0,10.369,10.369,2011-10-26T00:00:00Z,9:10:20,P1179-105
007-000001184,913,7,Department of Defense,Mission Planning System,2641,P1184-103,"MAF Modernizations: Special Mission ACC Platforms (E-3 v2.0, v3.0, v3.1/E-8 v2.0, v3.0, v3.1/RC-135 v3.0) - Software Development, Maintenance, and Fielding","MAF Modernizations: Special Mission ACC Platforms (E-3 v2.0, v3.0, v3.1/E-8 v2.0, v3.0, v3.1/RC-135 v3.0) - Software Development, Maintenance, and Fielding.",2011-01-01T00:00:00Z,2014-01-05T00:00:00Z,1100,Completed,,,20.881,0,0,Balanced schedule,0,Balanced budget,0,6.739,6.739,2011-10-26T00:00:00Z,9:10:20,P1184-103
007-000001184,913,7,Department of Defense,Mission Planning System,2642,P1184-104,"Software Maintenance of Modernized  MAF Special Mission ACC (E-3 v2.0, v3.0, v3.1/E-8 v2.0, v3.0, v3.1/RC-135 v3.0)","Software Maintenance of Modernized  MAF Special Mission ACC (E-3 v2.0, v3.0, v3.1/E-8 v2.0, v3.0, v3.1/RC-135 v3.0).",2012-01-05T00:00:00Z,2016-01-07T00:00:00Z,1463,Completed,,,3.863,0,0,Balanced schedule,0,Balanced budget,0,0.602,0.602,2011-10-26T00:00:00Z,9:10:20,P1184-104
007-000001184,913,7,Department of Defense,Mission Planning System,2643,P1184-105,"JPADS-MP Software Development, CAT v3.0 & v3.1","JPADS-MP Software Development, CAT v3.0 & v3.1.",2011-01-08T00:00:00Z,2014-01-04T00:00:00Z,1092,Completed,,,10.368,0,0,Balanced schedule,0,Balanced budget,0,7.68,7.68,2011-10-26T00:00:00Z,9:10:20,P1184-105
007-000001184,913,7,Department of Defense,Mission Planning System,2644,P1184-106,"CAF Modernizations (B-1, F-15, F-16, F-22) - SW Development, Maintenance, and Fielding","CAF Modernizations (B-1, F-15, F-16, F-22) - SW Development, Maintenance, and Fielding.",2010-01-08T00:00:00Z,2016-01-08T00:00:00Z,2191,Completed,,,42.307,0,0,Balanced schedule,0,Balanced budget,0,22.376,22.376,2011-10-26T00:00:00Z,9:10:20,P1184-106
007-000001184,913,7,Department of Defense,Mission Planning System,2645,P1184-107,Increment IV; A-10 Ste 7 MPE SW Development and Fielding,Increment IV; A-10 Ste 7 MPE SW Development and Fielding.,2010-01-02T00:00:00Z,2012-12-05T00:00:00Z,1068,Completed,2012-12-05T00:00:00Z,2012-12-05T00:00:00Z,3.544,-111,-13.36,Under schedule,0,Balanced budget,0,2.179,2.179,2011-10-26T00:00:00Z,9:10:20,P1184-107
007-000001184,913,7,Department of Defense,Mission Planning System,2646,P1184-108,Increment IV; F-22 Rel 12 SW Development and Fielding,Increment IV; F-22 Rel 12 SW Development and Fielding.,2011-01-10T00:00:00Z,2014-01-01T00:00:00Z,1087,Completed,2013-01-03T00:00:00Z,2013-01-03T00:00:00Z,11.994,0,0,Balanced schedule,0,Balanced budget,0,2.262,2.262,2011-10-26T00:00:00Z,9:10:21,P1184-108
007-000001184,913,7,Department of Defense,Mission Planning System,2647,P1184-109,Increment IV; Representative Platform (E-8) - SW Development and Fielding,Increment IV; Representative Platform (E-8) - SW Development and Fielding.,2008-01-09T00:00:00Z,2012-01-04T00:00:00Z,1456,Completed,2012-01-04T00:00:00Z,2012-01-04T00:00:00Z,19.947,-152,-55.27,Under schedule,0,Balanced budget,0,5.734,5.734,2011-10-26T00:00:00Z,9:10:21,P1184-109
007-000001184,913,7,Department of Defense,Mission Planning System,2648,P1184-110,Sustainment of Platform MPEs,"Sustainment of Platform MPEs (A-10, B-1, E-3, E-8, RC-135, F-15, F-16, F-22).",2010-01-10T00:00:00Z,2015-01-10T00:00:00Z,1826,Completed,,,21.271,0,0,Balanced schedule,0,Balanced budget,0,10.363,10.363,2011-10-26T00:00:00Z,9:10:21,P1184-110
007-000001550,914,7,Department of Defense,Integrated Strategic Planning and Analysis Network - Increment 3,2655,P1550-101,ISPAN Collaborative Information Environment Increment 3 Milestone B decision,"Develop required supporting data to meet a Milestone B decision.  This includes the Acquistion Strategy, Program Office Estimate, Service Cost Position, etc.",2012-01-04T00:00:00Z,2012-12-31T00:00:00Z,362,Completed,,,1.2,0,0,Balanced schedule,0,Balanced budget,0,1.2,1.2,2011-10-26T00:00:00Z,9:10:24,P1550-101
007-000001042,917,7,Department of Defense,Defense Occupational and Environmental Health Readiness System - Industrial Hygiene,2622,P1042-101,Defense Occupational and Environmental Health Readiness System - Industrial Hygiene (DOEHRS-IH) Modernizations/Enhancements,"(DOEHRS-IH) is a comprehensive, automated information system that provides a single point for assembling, comparing, using, evaluating, and storing occupational personnel exposure information, workplace environmental monitoring data, personnel protectiveequipment usage data, observation of work practices data, and employee health hazard educational data. DOEHRS-IH will provide for the definition, collection and analysis platform to generate and maintain a Service Members Longitudinal Exposure Record.This project begins integration of Web based interfaces; configuration of enhancements for Food and Water Safety Surveillance in the web application, mobile application, and data warehouse; prototyping of the Exposure Characterization and Food and Water Safety Surveillance interfaces; and design for supporting Environmental Health functionality in the Data Warehouse.",2012-01-31T00:00:00Z,2013-01-06T00:00:00Z,341,Completed,2013-01-06T00:00:00Z,2013-01-06T00:00:00Z,15.812,0,0,Balanced schedule,0,Balanced budget,0,15.812,15.812,2012-05-04T00:00:00Z,7:26:21,P1042-101
007-000001248,919,7,Department of Defense,Teleport Generation ,2653,P1248-102,Phase 1 AEHF XDR,Phase 1 will provide Advanced Extremely High Frequency Extended Data Rate (AEHF XDR) capabilities to warfighters worldwide by installing terminals from the Navy Multiband Terminal (NMT) program at Teleport and other gateway sites.,2010-01-10T00:00:00Z,2015-09-30T00:00:00Z,2088,Completed,2013-04-04T00:00:00Z,2013-04-04T00:00:00Z,105.57,0,0,Balanced schedule,0,Balanced budget,0,5.948,5.948,2012-07-03T00:00:00Z,7:27:23,P1248-102
007-000001791,921,7,Department of Defense,Energy Convergence,2800,P1791-104,Release 2.0,"Design, build, test, and deployment of the petroleum commodities into the Enterprise Business System.",2011-01-03T00:00:00Z,2013-10-24T00:00:00Z,1024,Completed,,,33.574,0,0,Balanced schedule,0,Balanced budget,0,33.574,33.574,2011-10-31T00:00:00Z,7:48:18,P1791-104
007-000001099,922,7,Department of Defense,Air Force Intranet Increment ,2627,P1099-101,Air Force Network consolidation.,"Consolidates all base networks into an overall Air Force Network (AFNET) to increase security, decrease operating costs and improve reliabilty of the warfighter network.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,17.6,0,0,Balanced schedule,0,Balanced budget,0,17.6,17.6,2011-10-26T00:00:00Z,8:57:08,P1099-101
007-000003945,923,7,Department of Defense,JSpOC Mission System,2803,P3945-102,Deliver Increment 1,- Initial Service Oriented Architecture (SOA) infrastructure and User-Defined Operational Picture (UDOP)- Capabilities within Increment 1 will be leveraged from existing Gov''t Lab efforts so as to maximize use of previous development and expedite capabil,2011-01-09T00:00:00Z,2012-09-28T00:00:00Z,627,Completed,,,30,0,0,Balanced schedule,0,Balanced budget,0,30,30,2011-10-31T00:00:00Z,9:06:05,P3945-102
007-000003945,923,7,Department of Defense,JSpOC Mission System,2804,P3945-103,Deliver Increment 2,Delivers space object catalog and astrodynamic calculations supporting space situational awareness and Space C2.,2012-10-06T00:00:00Z,2014-09-30T00:00:00Z,724,Completed,,,30,0,0,Balanced schedule,0,Balanced budget,0,15,15,2011-10-31T00:00:00Z,9:06:05,P3945-103
007-000000688,1114,7,Department of Defense,DISTRIBUTED LEARNING SYSTEM,2599,P0688-101,The Distributed Learning System (DLS) Deployed Digital Training Campus (DDTC),"The Deployed Digital Training Campus (DDTC) project provides a means for the Army institutional training base to deliver distant learning (dL) training products and services to globally deployed forces consisting of 10 deployable electronic classrooms in FY12.  The DDTC primary role is to provide operationally deployed unit access to video teletraining (VTT), web-based training, collaboration and constructive simulations based training opportunities.  The DDTC's will deliver training via multimedia courseware enabling Soldiers to perform remote self-paced instruction or to participate in group training activities and events in a deployed global location. The DDTC project facilitates transformation of the Army institutional training base from a centralized resident training environment to a blended resident and distributed training environment thus providing a more flexible training philosophy while directly supporting the Army's current wartime training needs and ongoing force transition.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,7.876,0,0,Balanced schedule,0,Balanced budget,0,7.876,7.876,2012-01-19T00:00:00Z,7:47:34,P0688-101
007-000001640,1115,7,Department of Defense,RESERVE COMPONENT AUTOMATION SYSTEM,2657,P1640-104,Reserve Component Automation System (RCAS) Infrastructure Refresh.,"Provide technology refreshment (TR) of the Reserve Component Automation System''s enterprise components that include commercial off-the-shelf(COTS) information technology (IT) hardware and software fielded to Army National Guard and U.S. Army Reserve units. The TechnologyRefreshment project is based on a 5 year refresh cycle, refreshing 20% of the fielded infrastructure annually to avoid product end of life orobsolescence. The Technology Refreshment project provides for the effective and efficient periodic replacement of Commercial Off-The-Shelf (COTS)components, e.g., processors, displays, switches, routers, computer operating systems, commercially available software, etc as may be necessary acrossthe Enterprise to assure continued supportability of that system through an indefinite service life.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,41.248,0,0,Balanced schedule,0,Balanced budget,0,41.248,41.248,2012-09-01T00:00:00Z,9:49:07,P1640-104
007-000001640,1115,7,Department of Defense,RESERVE COMPONENT AUTOMATION SYSTEM,2658,P1640-105,Reserve Component Automation System (RCAS) Lifecycle Software Sustainment.,"Provide RCAS lifecycle sustainment for a suite of 19 web-based, virtualized software applications used throughout the Army National Guard (ARNG)and the U.S. Army Reserve (USAR) for Mobilization Planning and Execution, Force Structure Management, Safety, and Personnel Managementinvolving approximately 2.5M souce lines of code. Also provides for sustainment and security of 31 external interfaces with other DoD/Army Systemsof record.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,41.487,0,0,Balanced schedule,0,Balanced budget,0,41.487,41.487,2012-07-03T00:00:00Z,7:25:00,P1640-105
007-000001667,1116,7,Department of Defense,Integrated Data Environment/Global Transportation Network Convergence,2659,P1667-101,Transportation Tracking Number (TTN),"TTN generates a unique, unclassified identifier in the classified force planning systems which can be used by the unclassified Service and Joint transportation domains to achieve end-to-end visibility of unit movements.",2009-01-06T00:00:00Z,2012-09-30T00:00:00Z,1362,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,19.483,0,0,Balanced schedule,0,Balanced budget,0,1.35,1.35,2011-10-26T00:00:00Z,9:10:25,P1667-101
007-000006430,1120,7,Department of Defense,KNOWLEDGE MANAGEMENT,2708,P6430-101,AKO Technology Replacement,"Army Knowledge Online (AKO), as the Army''s Enterprise Portal, is the centerpiece of the Army's Knowledge Management strategy, providing 2.3 million plus users (soldiers, civilians and contractors)with access to vital applications, knowledge and services.  AKO provides enterprise-level services to its customer to include user authentication, e-mail, video messaging, web-based collaboration, file storage, and instant messenger.  AKO''s life cycle management plan projects a 20% technology replacement annually and an annual supplement of the storage capacity.  The technology refresh scheduled for this OPA requirement replaces aging Cisco network equipment to include switches, routers and firewalls in both the primary and secondary data centers and on both NIPRNET and SIPRNET.  Much of the AKO Cisco network equipment has aged to the point where it is no longer supported by the vendor.  Hardware failure will cause AKO services to go offline for days, denying users and organizations access to Army applications as well as access to their files and other information until suitable replacement equipment can be procured. These Cisco devices also include firewall devices to meet information assurance requirements. Without the technology refresh of these firewalls, security deficiencies cannot be remediated and the Army LandWarNet is exposed to risk. The storage supplement requirement adds storage capacity, backup capacity and replication capacity to our existing storage services.  Demand for AKO collaboration services continues to grow annually requiring an increase in  storage capacity (raw storage capacity, backup capacity, and data replication capacity).  Also, must maintain the AKO services Continuation of Operations (COOP) systems.",2011-03-10T00:00:00Z,2012-09-30T00:00:00Z,569,Completed,,,416.098,0,0,Balanced schedule,0,Balanced budget,0,12.689,12.689,2011-10-26T00:00:00Z,9:10:51,P6430-101
007-000001699,1123,7,Department of Defense,SHIPBOARD MANAGEMENT INFORMATION SYSTEM,2660,P1699-101,SMIS FY12 Technology Refresh and Deployment,"This effort seeks to deploy SMIS technology updates for the maintenance of SMIS infrastructure on new and existing vessels.  MSC seeks to refresh the technology on approximately 1/5th of its fleet per year.  This includes hardware and software for SMIS components (along with related security, cryptographic and other communications elements) consisting of: Afloat U-LAN - The shipboard Afloat Unclassified Local Area Network (U-LAN) provides the base infrastructure for providing all IT functions. Afloat C-LAN - The shipboard Afloat Classified Local Area Network (C-LAN) is installed on specific ships requiring access to classified material and communications as part of their mission. Afloat Environment - The Afloat environment based on Windows servers and workstations.  PPTS - PC to PC Transfer System (PPTS) allows shipboard users to perform messaging services required for ship operations. ANOC -The Afloat Network Operations Center (ANOC) provides connectivity between land-based and shipboard systems.  Ships docked or at sea have network connectivity to the MSC enterprise, messaging services, NIPRNet, SIPRNet, and other networks by way of the ANOC. BEST - The Bandwidth Efficient Satellite Transport (BEST) system provides ships at sea with connectivity to the ANOC, and subsequently to all networks accessible by the ANOC.",2011-03-10T00:00:00Z,2012-09-28T00:00:00Z,567,Completed,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,8.574,0,0,Balanced schedule,0,Balanced budget,0,4.9,4.9,2012-11-01T00:00:00Z,8:35:34,P1699-101
007-000000573,1124,7,Department of Defense,DEFENSE CIVILIAN PERSONNEL DATA SYSTEM,2628,P0573-101,Secure Hash Algorithm (SHA) 256 Infrastructure Upgrade,"Department of Defense Chief Information Officer (CIO) issued a memorandum on October 14, 2010 directing all DoD Componetns to develop a plan to implement Secure Hash Algorithm (SHA-2) throughout their information systems infrastucture.  Various information systems (IS) such as the Defense Civilian Personnel Data System (DCPDS) rely on digital signatures that are electronically signed and validated using the SHA.  By using a private key that is paired with a public key, both generated using SHA, a file can be electronically signed and the signature verified by a recipient.  SHA is also used to provide assurance that file has not been altered, either intentionally or unintentionally, during transmission.  The current standard for that utility is know as SHA-1.    DoD has mandated that all DoD systems must use a new version fo SHA-2 no later than December 31, 2013.An initial evaluation of the DCPDS system identified several hardware and software items that will be affected by this security posture change.  As spelled out in the memo, software and hardware will need to be upgraded to meet the minimum SHA-256 requirement to keep DCPDS in compliant with all DoD rules, regulations and directives.  Specific hardware and software is required since they directly integrate with existing equipment and software currently in use.",2011-11-15T00:00:00Z,2013-05-31T00:00:00Z,562,Completed,,,3.404,0,0,Balanced schedule,3.404,Excess budget,100,3.404,0,2011-10-26T00:00:00Z,9:01:27,P0573-101
